Date,Open,High,Low,Close,Volume,ticker,Year,Month,Day
2006-01-18,2.491655718052498,2.5207470914283796,2.454766295760784,2.4739603996276855,1200637200,AAPL,2006,1,18
2006-01-19,2.4367724614561728,2.449068869825927,2.3614948252488697,2.3704917430877686,1695848000,AAPL,2006,1,19
2006-01-20,2.377690237470351,2.400482750426795,2.2742205734763647,2.2820184230804443,1134758800,AAPL,2006,1,20
2006-01-23,2.2823186820957764,2.386088288022234,2.279320109094554,2.3294053077697754,1059730000,AAPL,2006,1,23
2006-01-24,2.3620942297015244,2.3818889703080166,2.272420765274216,2.2805185317993164,1142254400,AAPL,2006,1,24
2006-01-25,2.321006720924865,2.3243054102215757,2.1968431828733084,2.225335121154785,1275786400,AAPL,2006,1,25
2006-01-26,2.235233458939204,2.2622254234649897,2.157256739268672,2.169252634048462,1181387200,AAPL,2006,1,26
2006-01-27,2.187846788730684,2.207340815610397,2.1323636813435822,2.160255193710327,953864800,AAPL,2006,1,27
2006-01-30,2.1344634540973852,2.2973143955425575,2.1254655318009936,2.24932861328125,1398401200,AAPL,2006,1,30
2006-01-31,2.2643234481367314,2.289515892774957,2.2118391384208227,2.2646231651306152,913542000,AAPL,2006,1,31
2006-02-01,2.2478287173473785,2.2931148242979758,2.2385310816294286,2.2619240283966064,521186400,AAPL,2006,2,1
2006-02-02,2.252327665029339,2.2601255155095297,2.1608546824566774,2.1623544692993164,707322000,AAPL,2006,2,2
2006-02-03,2.166552500570588,2.183047748645081,2.130563432641245,2.154855728149414,692123600,AAPL,2006,2,3
2006-02-06,2.1599557327694954,2.1746512840618877,2.001602358271667,2.018397331237793,1651767600,AAPL,2006,2,6
2006-02-07,2.047488912110397,2.0837787150316576,1.999803650184136,2.027395248413086,1388830800,AAPL,2006,2,7
2006-02-08,2.0540871434077146,2.0717824729851193,1.9794099014674582,2.0636847019195557,953114400,AAPL,2006,2,8
2006-02-09,2.072380764264426,2.076279889134805,1.9353219702520805,1.9479182958602905,1149764000,AAPL,2006,2,9
2006-02-10,1.9548156545631983,2.02949364323084,1.8864365283507443,2.0186970233917236,1760477600,AAPL,2006,2,10
2006-02-13,1.9983036499626208,2.0019028583658502,1.9386210985148016,1.9407203197479248,883498000,AAPL,2006,2,13
2006-02-14,1.952416564168957,2.0423897330832244,1.9494177922247706,2.0285935401916504,1160938800,AAPL,2006,2,14
2006-02-15,2.014198683806523,2.0879773585524517,2.00190307223166,2.0759806632995605,1159771200,AAPL,2006,2,15
2006-02-16,2.0966739375699475,2.1296634350542787,2.083777895670117,2.1164674758911133,948175200,AAPL,2006,2,16
2006-02-17,2.1083707677576675,2.126065893493488,2.087676868592063,2.1080708503723145,575999200,AAPL,2006,2,17
2006-02-21,2.1170670624959897,2.123365124672305,2.0597844681842146,2.0717811584472656,779606800,AAPL,2006,2,21
2006-02-22,2.069381842680668,2.149457741183729,2.039390119601733,2.138960838317871,978238800,AAPL,2006,2,22
2006-02-23,2.1530576842742004,2.1893464803358764,2.1422600596388737,2.151857614517212,856917600,AAPL,2006,2,23
2006-02-24,2.1635538393805525,2.1860466325912338,2.135361817441087,2.143159866333008,534744000,AAPL,2006,2,24
2006-02-27,2.1590550541283724,2.1629541797172642,2.118867332282111,2.1290643215179443,791240800,AAPL,2006,2,27
2006-02-28,2.146758757406666,2.1713509700868974,2.042389759965338,2.0540857315063477,1266980400,AAPL,2006,2,28
2006-03-01,2.06458245674999,2.084077275928143,2.0399904464014,2.072380304336548,763817600,AAPL,2006,3,1
2006-03-02,2.069081469867088,2.0990723854953646,2.0594841205950307,2.0876753330230713,625273600,AAPL,2006,3,2
2006-03-03,2.0813778868925303,2.0966740687028813,2.0252953572591768,2.0309929847717285,737668400,AAPL,2006,3,3
